id;price
2235;6200
2234;5240
2233;3000
2236;5850
2237;3250
2238;3300
2239;4350
2240;7600
2241;6550
2242;2500
2243;3400
2244;3600
2245;7500
2250;5100
2251;11500
2252;22900
2253;2750
2254;1640
2255;5200
2256;5000
2257;21000
2258;10200
2259;19200
2260;4000
2261;15430
2262;13240
2264;10020
2265;12850
2266;5850
2267;28500
2268;11700
2269;4770
2270;2200
2271;4400
2272;8100
2273;6700
2274;12000
2275;5450
2276;10320
2277;3000
2278;12000
2279;18000
2286;6240
2285;27700
2287;7200
2294;10940
2288;4960
2289;66700
2290;57700
2291;88700
2292;98100
2295;89400
2296;3710
2297;570
2298;640
2299;2860
2300;4290
2301;1430
2302;3860
2303;300
2304;4290
2305;1290
2306;100
2307;4500
2309;4400
2311;114990
2312;93600
2313;39840
2315;25990
2316;43860
2317;36420
2318;8700
2319;10620
2320;34900
2321;36750
2322;38500
2323;13740
2372;23430
2371;25550
2465;35240
2469;45990
2360;37390
2330;8990
2467;80550
2349;38990
2470;47990
2473;51590
2474;25990
2475;30990
2476;25990
2482;1600
2725;20570
2740;1750
2852;950
2827;54880
2821;48900
2847;1000
2828;83660
2829;86340
2830;94940
2851;1000
2853;950
2869;11240
2870;11670
