Название категории;Название группы;Название подгруппы;Название раздела;Название подраздела;ID товара;Название товара;Цена;Склад;
Щетки;Навесное оборудование;;;; 257;Щетка ЩМ-0,9 Торнадо для мотоблоков МКМ-3 Lander;19990;99;
Картофелевыкапыватели;Навесное оборудование;;;; 256;Картофелевыкапыватель КВ-2 для мотокультиваторов;750;99;
Картофелевыкапыватели;Навесное оборудование;;;; 255;Картофелевыкапыватель КВ-3 для мотоблоков;1000;99;
Грунтозацепы;Навесное оборудование;;;; 254;Удлинители грунтозацепов для мотоблоков МБ;700;99;
Грунтозацепы;Навесное оборудование;;;; 253;Грунтозацепы для мотоблоков Агрос, МТЗ Беларус;2900;99;
Грунтозацепы;Навесное оборудование;;;; 252;Грунтозацепы 500х130 мм для мотоблока НМБ-1 старой модификации;2100;99;
Грунтозацепы;Навесное оборудование;;;; 251;Грунтозацепы 350х130 мм для мотоблока НМБ-1 старой модификации;1950;99;
Грунтозацепы;Навесное оборудование;;;; 250;Грунтозацепы 350x110 мм;1850;99;
Грунтозацепы;Навесное оборудование;;;; 249;Грунтозацепы 320x200 мм для мотокультиваторов МК-100;2050;99;
Грунтозацепы;Навесное оборудование;;;; 248;Грунтозацепы МК-100;1500;99;
Грунтозацепы;Навесное оборудование;;;; 247;Грунтозацепы Крот;1500;99;
Грунтозацепы;Навесное оборудование;;;; 246;Грунтозацепы 500 мм для мотоблоков Д=34 мм;2100;99;
Грунтозацепы;Навесное оборудование;;;; 245;Грунтозацепы 425 мм для мотоблоков Д=34 мм;1850;99;
Грунтозацепы;Навесное оборудование;;;; 244;Грунтозацепы 460x160 мм для мотоблоков Д=34 мм;2500;99;
Грунтозацепы;Навесное оборудование;;;; 243;Грунтозацепы 500x200 мм для мотоблоков Д=34 мм;2700;99;
Грунтозацепы;Навесное оборудование;;;; 242;Грунтозацепы 425x200 мм для мотоблоков Д=34 мм;2400;99;
Грунтозацепы;Навесное оборудование;;;; 241;Грунтозацепы 600 мм для мотоблоков Д=34 мм;2700;99;
Сцепки;Навесное оборудование;;;; 240;Сцепка Крот;600;99;
Сцепки;Навесное оборудование;;;; 239;Сцепка МКМ-75;550;99;
Сцепки;Навесное оборудование;;;; 238;Сцепка МК-100;500;99;
Сцепки;Навесное оборудование;;;; 237;Сцепка База для мотоблоков Салют, Фаворит;600;99;
Сцепки;Навесное оборудование;;;; 236;Сцепка База-2 для мотоблоков типа МБ и МКМ-3 Lander;750;99;
Сцепки;Навесное оборудование;;;; 235;Рама с двумя замками СУ-4 для адаптера;1100;99;
Сцепки;Навесное оборудование;;;; 234;Рама с двумя замками СВ-1/1 для мотоблоков;1100;99;
Сцепки;Навесное оборудование;;;; 233;Сцепка СВ-1/1 для мотоблоков Агрос, МТЗ Беларус;1300;99;
Сцепки;Навесное оборудование;;;; 232;Сцепка СВ-1/1 для мотоблоков типа МБ и МКМ-3 Lander;1100;99;
Полольники;Навесное оборудование;;;; 231;Полольники для мотоблоков МКМ-3 Lander, Салют, Крот;1600;99;
Фрезы (культиваторы);Навесное оборудование;;;; 230;Шплинт (стопор) фрезы, колеса для мотоблоков SPLR 1038;100;99;
Фрезы (культиваторы);Навесное оборудование;;;; 229;Нож культиватора - 1 шт. (левый|правый) для мотоблоков МКМ-3 Lander, Салют;90;99;
Фрезы (культиваторы);Навесное оборудование;;;; 228;Дополнительный комплект культиваторов для мотоблоков МКМ-3 Lander, Салют;1900;99;
Фрезы (культиваторы);Навесное оборудование;;;; 227;Дополнительный комплект культиваторов МБ;2100;99;
