Код ID;Наименование;Краткое описание;Маленькая картинка;Подробное описание;Большая картинка;Склад;Цена1;Цена2;Цена3;Цена4;Цена5;Вес;Артикул;Кaтегория ID; Доп. каталоги;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;Характеристика;Значение;;
;Грунтозацепы Крот;Грунтозацепы Крот - комплект;/UserFiles/Image/shop/gr_krot-mini.png;Грунтозацепы Крот - комплект;/UserFiles/Image/shop/gr_krot.png;99;1500;1500;0;0;0;;;;;Диаметр номинальный;360 мм;Ширина;110 мм;Тип обода;цельный;Производитель;Мобил К, г. Гагарин;;;;;;;;
;Грунтозацепы МК-100, Крот/МК-3;Грунтозацепы МК-100, Крот/МК-3 - комплект;;Грунтозацепы МК-100, Крот/МК-3 - комплект;;99;1500;1500;0;0;0;;;;;Диаметр номинальный;300 мм;Ширина;90 мм;Тип обода;двухполозный;Производитель;Мобил К, г. Гагарин;;;;;;;;
;Грунтозацепы ?320x200 мм для мотокультиваторов МК-100;Грунтозацепы для мотокультиваторов МК-100 ?320x200 мм - комплект;;Грунтозацепы для мотокультиваторов МК-100 ?320x200 мм - комплект;;99;2050;2050;0;0;0;;;;;Диаметр номинальный;320 мм;Ширина;200 мм;Тип обода;трехполозный;Назначение;вспашка;Производитель;Мобил К, г. Гагарин;;;;;;
;Грунтозацепы ?350x110 мм;Грунтозацепы ?350x110 мм для мотоблоков Pubert, Салют, МКМ-3 Lander - комплект;;Грунтозацепы ?350x110 мм для мотоблоков Pubert, Салют, МКМ-3 Lander - комплект;;99;1850;1850;0;0;0;;;;;Диаметр номинальный;350 мм;Ширина;110 мм;Тип обода;двухполозный;Назначение;окучивание одним окучником, без снятия крыльев;Посадочный диаметр;25 мм. Устанавливаются без удлинителей;Производитель;Мобил К, г. Гагарин;;;;
;Грунтозацепы ?350х130 мм для мотоблока НМБ-1;Грунтозацепы ?350х130 мм для мотоблока НМБ-1 - комплект;/UserFiles/Image/shop/gr_NMB_350x130-mini.png;Грунтозацепы ?350х130 мм для мотоблока НМБ-1 - комплект;/UserFiles/Image/shop/gr_NMB_350x130.png;99;1950;1950;0;0;0;;;;;Диаметр номинальный;350 мм;Ширина;130 мм;Тип обода;двухполозный;Устанавливается на дулиниители;;Производитель;Мобил К, г. Гагарин;;;;;;
;Грунтозацепы ?500х130 мм для мотоблока НМБ-1;Грунтозацепы ?500х130 мм для мотоблока НМБ-1 - комплект;/UserFiles/Image/shop/gr_500x130-mini.png;Грунтозацепы ?500х130 мм для мотоблока НМБ-1 - комплект;/UserFiles/Image/shop/gr_500x130.png;99;2100;2100;0;0;0;;;;;Диаметр номинальный;500 мм;Ширина;130 мм;Тип обода;двухполозный;Устанавливается на дулиниители;;Производитель;Мобил К, г. Гагарин;;;;;;
;Грунтозацепы для мотоблока Агрос, МТЗ Беларус;Грунтозацепы для мотоблока Агрос, МТЗ Беларус - комплект;;Грунтозацепы для мотоблока Агрос, МТЗ Беларус - комплект;;99;2900;2900;0;0;0;;;;;Диаметр номинальный;600 мм;Ширина;130 мм;Тип обода;двухполозный;Устанавливается на дулиниители;;Производитель;Мобил К, г. Гагарин;;;;;;
;Удлинитель грунтозацепов для мотоблоков ;Удлинитель грунтозацепов для мотоблоков МБ-1 Ока, МБ-2 Нева, Каскад - комплект;/UserFiles/Image/shop/udlin_gr_MB-mini.png;Удлинитель грунтозацепов для мотоблоков МБ-1 Ока, МБ-2 Нева, Каскад - комплект;/UserFiles/Image/shop/udlin_gr_MB.png;99;700;700;0;0;0;;;;;Позволяют расширить колею при установке грунтозацепов;;Колея;60 см (между центрами грунтозацепов);Производитель;Мобил К, г. Гагарин;;;;;;;;;;
;Картофелевыкапыватель КВ-3 для мотоблоков;Картофелевыкапыватель КВ-3 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1, Фаворит, Каскад, Луч;/UserFiles/Image/shop/KV-3-mini.png;Картофелевыкапыватель КВ-3 для мотоблоков МБ-1 Ока, МБ-2 Нева, Салют, МКМ-3 Lander, Агрос, МТЗ Беларус, НМБ-1, Фаворит, Каскад, Луч;/UserFiles/Image/shop/KV-3.png;99;1000;1000;0;0;0;;;;;Длина x ширина x высота;540х410х410 мм;Ширина захвата лемеха;410 мм;Рабочая скорость;2-5 км/ч;Масса ;не более 5,2 кг;Тип почвы;легкая, средняя;Производитель ;Мобил К, г. Гагарин;Для установки на мотоблок необходима сцепка;;;
;Картофелевыкапыватель КВ-2 для мотокультиваторов;Картофелевыкапыватель КВ-2 для мотокультиваторов Тарпан, МК-100, Крот;/UserFiles/Image/shop/KV-2-mini.png;Картофелевыкапыватель КВ-2 для мотокультиваторов Тарпан, МК-100, Крот;/UserFiles/Image/shop/KV-2.png;99;750;750;0;0;0;;;;;Длина x ширина x высота;460х305х360 мм;Ширина захвата лемеха;305 мм;Рабочая скорость;2-5 км/ч;Масса ;не более 3,3 кг;Тип почвы;тяжелая;Производитель ;Мобил К, г. Гагарин;Для установки на мотоблок необходима сцепка;;;
