Код товара;Артикул;Наименование;Цена1;Цена2;Цена3;Цена4;Цена5;Новинка;Спецпредложение;Склад;Вес;Сортировка
208;ps_208;"Шкив на двигатель для мотоблока Нева МБ-2";720;0;0;0;0;0;0;91;0.6;-1
209;ps_209;"Опора сварная для двигателя";720;0;0;0;0;0;0;93;0.8;-1
210;ps_210;"Мотопомпа Lianlong LL QDZ 40-25";8000;0;0;0;0;0;0;99;0;0
211;ps_211;"Мотопомпа Lianlong LL QD 50-30А";10600;0;0;0;0;0;0;99;0;0
212;ps_212;"Мотопомпа Lianlong LL HW 51A";16100;0;0;0;0;0;0;99;0;0
213;ps_213;"Бензиновая мотопомпа для грязной воды Lianlong LL TW 30";11500;0;0;0;0;0;0;99;0;0
214;00620140;"Мотопомпа Hitachi A25EB";20310;0;0;0;0;0;0;99;0;0
215;93801426;"Мотопомпа Hitachi A160EA";33610;0;0;0;0;0;0;99;0;0
216;ps_216;"Бензиновый генератор Lianlong LL 2,5 GF-3A";12150;0;0;0;0;0;0;99;0;0
217;ps_217;"Бензиновый генератор Lianlong LL 4,0 GF-3A";16900;0;0;0;0;0;0;99;0;0
227;ps_227;"Дополнительный комплект культиваторов МБ";2140;0;0;0;0;0;0;97;5;0
228;ps_228;"Дополнительный комплект культиваторов МКМ-3 Lander, Салют";1840;0;0;0;0;0;0;95;6;0
8805;;"Мотокультиватор Мобил К МКМ-1-Б5.5";25690;0;0;0;0;1;1;0;42;0
229;ps_229;"Нож культиватора - 1 шт. (левый;правый) МКМ-3 Lander, Салют";100;0;0;0;0;0;0;191;0.2;0
230;ps_230;"Шплинт (стопор) фрезы, колеса для мотоблоков SPLR 1038";100;0;0;0;0;0;0;99;0.15;-1
231;ps_231;"Полольники для мотоблоков МКМ-3 Lander, Салют, Крот";1680;0;0;0;0;0;0;94;5;0
232;ps_232;"Сцепка СВ-1/1 для мотоблоков типа МБ и МКМ-3 Lander";1120;0;0;0;0;0;0;98;4;0
233;ps_233;"Сцепка СВ-1/1 для мотоблоков Агрос, МТЗ Беларус";1440;0;0;0;0;0;0;98;5;0
